Dialogue_ID,Utterance_ID,Response
0,0,"Wow, that sounds like a lot of responsibility."
0,1,"It was a lot to manage, that's for sure."
0,2,It sounds like a really stressful time.
0,3,"Oh, boy, where do I even begin?"
0,4,I'm ready when you are.
0,5,I can imagine that feels overwhelming.
0,6,It sounds like a lot is being asked of you.
0,7,That sounds like a relief.
0,8,It sounds like you're already thinking about how to manage that.
0,9,I'm ready.
0,10,It sounds like you're feeling a bit overwhelmed already.
0,11,That's a relief.
0,12,I think you’ll do great.
0,13,Thank goodness.
1,0,That sounds really frustrating.
1,1,I'm sorry; it sounds like you're really frustrated.
1,2,It's just... I'm feeling really vulnerable right now.
1,3,It sounds like you're really struggling.
1,4,It sounds like you're feeling really uncertain right now.
1,5,So you're feeling a bit lost right now?
1,8,"I understand, it's frustrating when you can't remember."
2,0,Hey.
2,1,"Yeah, lay it on me."
2,2,"I think I do, too."
2,3,"Oh no, that's awful."
2,4,"I know, right?"
2,5,"That's awful, I'm so sorry."
2,6,"I know, I'm really bummed too."
2,7,That really stinks.
2,8,"I'm really bummed about this, too."
2,9,"No, not yet."
2,10,"Oh, that's great!"
2,11,"No, it's not."
2,12,"Oh man, that must be a relief."
3,0,"I know, it's just awful to think about."
3,1,She just got a parking ticket!
3,2,Tell me!
3,3,"Oh, that must have felt like a real gut punch."
3,4,That must have been so painful to read.
3,5,That's incredibly harsh.
3,6,"That's so harsh, and it must hurt so much."
3,8,"That's just awful, isn't it?"
3,9,"I know, it's just awful."
4,0,Hey yourself! How are you doing?
4,1,How are you doing today?
4,2,Just hanging out.
4,3,"Oh, that's right, you have a paper route."
4,4,"Yeah, it can be a grind sometimes."
4,5,Hi.
4,6,"It's good to see you, even if just for a moment."
4,7,"It was awful, honestly."
4,8,That sounds like a huge relief.
4,9,"Thank you, it means a lot."
4,10,That's wonderful news!
4,11,"I understand, it's okay."
4,12,It's okay.
4,13,It must be hard to feel that way.
4,14,I get it.
5,0,That must be a lot to carry.
5,1,It's okay.
5,2,"Tough one, isn't it?"
5,3,I hear you.
6,0,"Thank you, I really appreciate that."
6,1,"Yes, I did!"
6,2,I'm so glad.
6,3,The whole thing! It was just brilliant!
6,4,"You're so eager to leave, huh?"
6,5,I can't pick just one!
6,6,"You're really fishing for some specific feedback, aren't you?"
6,7,"Oh, you're really fishing for my favorite part, aren't you?"
6,8,It sounds like the kangaroo scene really stood out for you.
6,9,"I'm so sorry, I didn't mean to."
6,10,"I am so sorry, I really thought you were enjoying it."
6,11,That must have been really disappointing.
6,12,"I'm so sorry, I know how much you were invested in this."
6,13,"Alright, see you later."
6,14,I'm just feeling a bit deflated right now.
6,15,I understand.
6,16,"It's okay, I understand."
6,17,I'm here.
6,18,"I know, it's frustrating."
6,19,I feel so bad.
6,20,I am angry too!
6,21,"It's alright, we all have those days."
7,0,"Oh, that's a tough conversation to have."
7,1,"I know it's hard to deliver bad news, especially today."
8,0,I understand how important that is to you.
8,1,"Oh, that sounds like a truly terrifying prospect."
8,2,I understand how important that ring is to you.
8,3,I understand how important it is to you.
8,4,"Oh, wow... it's beautiful."
8,5,I can't believe you're doing this.
8,6,"You look so happy, it's wonderful to see."
9,0,"Not much, just feeling really burnt out lately."
9,1,Sounds like you're having a wild time!
9,2,"Wow, that must feel amazing!"
9,3,That sounds like a lot to process right now.
9,4,"It's so hard, isn't it?"
9,5,It sounds like things are difficult right now.
9,6,"I'm really sorry, I don't think I can."
9,7,That sounds great.
9,8,I'm really looking forward to it.
9,9,It sounds like you're really happy about this.
9,10,That has to be a scary thought.
9,11,That sounds like a lot of pressure.
9,12,"I know, I know, it's messed up, but I'm in too deep."
9,13,You poor thing.
10,0,"I understand, it must feel incredibly lonely."
10,1,I understand how frustrating that must be.
10,2,That sounds incredibly frustrating.
10,3,"Oh, that's awful."
10,4,That sounds incredibly frustrating.
10,5,"It's just not fair, is it?"
11,0,"Oh, wow, that's incredibly exciting!"
11,1,I'm so stressed right now.
11,2,I'm really sorry.
11,3,I can't believe you're doing this.
11,4,You're welcome.
11,5,It's hard to believe this is really happening.
11,6,Bye!
11,7,I'm going to miss you.
11,8,I'm so excited for you!
11,9,I'm just so happy for you!
12,0,Hey to you too.
12,1,That's fantastic news!
12,2,"Yeah, it's not fun when your stomach is upset."
12,3,"Oh, no, I'm so sorry, I didn't mean to make you feel that way."
12,4,I'm just really stressed and overwhelmed.
12,5,"Oh, wow, you seem really upset."
12,6,"Oh no, that sounds awful."
12,7,"Oh, wow, that sounds really scary."
12,8,"Oh my god, are you okay?"
12,9,"Oh, man, that sounds incredibly scary."
12,10,"Oh man, that sounds really painful."
12,11,"Oh man, that sounds awful."
13,0,"He's from a small town, just like me."
13,1,That's so cool!
13,2,It's nice to have you appreciate my other interests.
13,3,I'm starting to see that.
14,0,It sounds like you're enjoying yourself.
14,1,I'm glad you're feeling good.
14,2,Wow.
14,3,"I know, it's a big step."
14,4,Wow.
14,5,I can understand why you might feel that way.
15,0,I understand you're feeling really upset right now.
15,1,I just need you to leave me alone right now.
15,2,I'm really not sure where to start.
15,3,"Oh, honey, I'm so sorry."
15,4,I just don't know anymore.
15,5,"Oh, sweetie, that sounds incredibly frustrating."
15,6,"I'm so sorry, that must have been incredibly awkward."
15,7,"I'm so sorry, it must be hard."
15,8,"I'm really not, no."
15,9,It's okay to not be okay right now.
15,10,It's okay to feel however you're feeling right now.
15,11,"Oh, wow... that must be so confusing and difficult."
15,12,"Oh, wow."
15,13,"I'm sorry, I didn't mean to interrupt."
15,14,"I'm so sorry, this must be a lot to process."
15,15,I just feel like I'm stuck between a rock and a hard place right now.
15,16,"I'm sorry, that sounds rough."
15,17,I'm here for you.
15,18,"I'm sorry, I know this is tough."
15,19,"Yeah, but we're still human."
15,20,"It's just... a lot to process, I'm sure."
15,21,I'm actually kind of scared now.
15,22,I'm right behind you!
16,0,"Okay, I'm going."
16,1,"I know, it's frustrating when things change so quickly."
16,2,"I know, right? It's always like that."
16,3,I'm so over this.
16,4,That sounds stressful.
16,5,I'm so sorry to hear that.
17,0,That sounds like a really dark place you're in right now.
17,1,That sounds really stressful.
17,2,I can see why you're worried about getting the words right.
17,3,"I don't know, I just... I don't know."
17,4,"I understand, it's hard to witness something upsetting."
17,5,"I understand, it can be difficult to watch something you find scary."
17,6,I understand; that kind of pressure can be overwhelming.
17,7,"Whoa, that sounds stressful."
17,8,You sound really excited!
17,9,"Oh, you're so excited!"
17,10,I can tell you're excited!
18,0,"I'm really not feeling up to either of those things right now, sorry."
18,1,Okay.
18,2,"I just feel so... off today, you know?"
18,3,That sounds like a really fun challenge.
18,4,That sounds like it would be a lot of fun.
18,5,Sounds like a plan!
18,6,"It's okay, we'll get it next time."
18,7,I think I just dropped it.
18,8,"Oh, man, that's a bummer."
18,9,I can only imagine how frustrating that is right now.
18,10,I'm so nervous right now!
19,0,Hey.
19,1,How are you doing?
20,0,"It didn't go well, I can tell you that much."
20,1,That's wonderful to hear!
20,2,"No, I'm not mad at you."
20,3,"Oh, that's such a relief to hear!"
20,4,That's wonderful to hear!
20,5,That's such a relief!
20,6,That's such a relief to hear.
20,7,I'm so glad things are going well!
20,8,I'm so glad you're feeling that way.
